fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
178.1,YR,120,N,4.3,NA,10,10:49:00,MRS,3,3.3,NA,HECR,15,414,2231,NA,APCL,NA,7011,294
178.2,NA,NA,NA,3,NA,10,10:49:00,MRS,3,3.3,NA,HECR,15,414,2231,NA,APCL,NA,7011,294
179.1,BW,NA,NA,2,NA,10,11:05:30,MRS,3,3.2,NA,HECR,20,NA,2232,NA,APCL,NA,7014,294
183.1,YR,124,N,3.6,NA,10,11:15:00,MRS,3,3.3,NA,MADO,5,NA,2233,NA,APCL,NA,7018,294
183.2,NA,NA,NA,3,NA,10,11:15:00,MRS,3,3.3,NA,MADO,5,NA,2233,NA,APCL,NA,7018,294
184.1,NA,NA,NA,7,NA,10,11:25:00,MRS,3,2.9,NA,HECR,30,NA,917,NA,APPE,NA,7020,294
186.1,YP,NA,NA,10,NA,10,11:35:00,MRS,3,3.3,NA,STME,30,NA,417,NA,APCL,NA,7022,294
186.2,O,NA,NA,10,NA,10,11:35:00,MRS,3,3.3,NA,STME,30,NA,417,NA,APCL,NA,7022,294
194.1,YR,NA,NA,1.5,NA,11,13:36:00,MRS,3,3.7,NA,HECR,20,419,909,NA,APCL,There is another anemone in a different spot with a 419 tag,7035,295
194.2,YR,133,N,4,NA,11,13:36:00,MRS,3,3.7,NA,HECR,20,419,909,NA,APCL,There is another anemone in a different spot with a 419 tag,7035,295
195.1,NA,NA,NA,4,NA,11,13:42:00,MRS,3,3.8,NA,HECR,30,NA,910,NA,APPE,NA,7036,295
206.1,W,139,N,5.4,NA,12,09:56:00,MRS,3,1.8,NA,HECR,15,NA,2241,NA,APCL,"PIT scanner stopped working, Michelle took reader back to boat to change batteries",7053,296
212.1,YR,149,N,3.9,NA,12,11:22:00,MRS,3,1.3,NA,HECR,20,906,2247,NA,APCL,NA,7066,296
213.1,YR,154,N,4.6,NA,12,11:32:00,MRS,3,2,NA,MADO,30,NA,2251,NA,APCL,NA,7067,296
214.1,BW,NA,N,3.5,NA,12,11:34:00,MRS,3,3,NA,HECR,25,NA,2249,NA,APCL,NA,7068,296
